거래년월일,거래량
2018-03-21,40454
2018-03-22,37409
2018-03-23,41868
2018-03-24,107286
2018-03-26,41725
2018-03-27,50025
2018-03-28,74222
2018-03-29,97213
2018-03-30,128370
2018-03-31,108545
2018-04-02,91781
2018-04-03,57906
2018-04-04,64611
2018-04-05,87400
2018-04-06,146523
2018-04-07,191643
2018-04-09,85652
2018-04-10,101139
2018-04-11,136352
2018-04-12,166450
2018-04-13,246784
2018-04-14,276468
2018-04-16,204442
2018-04-18,238580
2018-04-19,241958
2018-04-20,307230
2018-04-21,361479
2018-04-23,283647
2018-04-24,438109
2018-04-25,321229
2018-04-26,408199
2018-04-27,425379
2018-04-28,405507
2018-04-30,276486
2018-05-01,325557
2018-05-02,451298
2018-05-03,475769
2018-05-04,650034
2018-05-05,458076
2018-05-07,530650
2018-05-08,452864
2018-05-09,339104
2018-05-10,588186
2018-05-11,861610
2018-05-12,991674
2018-05-15,569000
2018-05-16,505250
2018-05-17,589069
2018-05-18,751460
2018-05-19,826689
2018-05-21,725200
2018-05-22,489159
2018-05-23,674035
2018-05-24,576219
2018-05-25,621201
2018-05-26,647865
2018-05-28,452283
2018-05-30,567452
2018-05-31,257327
2018-06-01,474385
2018-06-02,416233
2018-06-04,279324
2018-06-05,239535
2018-06-06,300347
2018-06-07,261569
2018-06-08,254730
2018-06-09,282684
2018-06-11,176355
2018-06-12,198333
2018-06-14,190877
2018-06-15,234627
2018-06-16,362956
2018-06-18,357754
2018-06-19,289240
2018-06-20,540815
2018-06-21,577200
2018-06-22,557672
2018-06-23,687340
2018-06-25,659057
2018-06-26,544396
2018-06-27,715117
2018-06-28,568337
2018-06-29,655885
2018-06-30,393214
2018-07-02,196820
2018-07-03,475599
2018-07-04,513765
2018-07-05,685959
2018-07-06,793540
2018-07-07,825055
2018-07-09,493370
2018-07-10,494357
2018-07-11,516380
2018-07-12,421341
2018-07-13,415999
2018-07-14,428352
2018-07-16,323870
2018-07-17,223045
2018-07-18,311225
2018-07-19,282390
2018-07-20,95500
2018-07-21,98120
2018-07-23,84330
2018-07-24,97265
2018-07-25,54750
2018-07-26,83795
2018-07-27,82555
2018-07-28,90820
2018-07-30,55933
2018-07-31,45405
2018-08-02,80154
2018-08-03,85590
2018-08-04,11215
2018-08-06,52320
2018-08-07,32385
2018-08-08,93050
2018-08-09,61365
2018-08-10,89465
2018-08-11,112870
2018-08-13,69135
2018-08-14,68395
2018-08-15,92820
2018-08-16,124501
2018-08-17,131790
2018-08-20,95185
2018-08-21,95930
2018-08-22,138359
2018-08-23,96683
2018-08-24,92745
2018-08-25,115451
2018-08-27,190840
2018-08-28,142325
2018-08-29,164210
2018-08-30,135540
2018-08-31,103940
2018-09-01,91675
2018-09-03,76600
2018-09-04,76130
2018-09-05,53300
2018-09-06,24480
2018-09-07,77610
2018-09-08,72260
2018-09-10,40460
2018-09-11,52770
2018-09-12,44800
2018-09-13,38345
2018-09-14,29485
2018-09-15,24055
2018-09-17,14099
2018-09-18,9225
2018-09-19,35515
2018-09-20,41860
2018-09-21,52920
2018-09-22,17606
2018-09-23,1360
2018-09-27,15090
2018-09-28,19650
2018-09-29,10280
2018-10-01,10170
2018-10-02,3300
2018-10-03,2270
2018-10-04,4840
2018-10-05,9060
2018-10-06,9110
2018-10-08,2000
2018-10-09,10540
2018-10-10,1710
2018-10-11,3230
2018-10-12,3740
2018-10-13,7625
2018-10-15,70
2018-10-16,6240
2018-10-17,390
2018-10-20,340
2018-10-26,220
2018-11-02,40
2018-11-03,970
2018-11-06,340
2018-11-10,280
2018-11-13,60
2018-11-14,1150
